molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,8.438,1039.343,559.854,479.489,0.000,0.000,1797.309,14.000,15.000,0.0396148,0.0540003,0.6878410,51.648,22.759,46.429,39.509,-4.765,2.000,2.569,-6.739,0.002,-6.722,0.001,-12.369,8.021,-1.137,10,-2.000,1,0.000,0.000,48.660,272.925,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,6.557,912.285,512.031,400.254,0.000,0.000,1680.709,14.000,15.000,0.0255840,0.0615212,0.7493699,46.982,20.208,44.589,37.034,-4.644,2.000,2.569,-5.743,0.015,-4.717,0.007,-10.909,8.235,-1.006,10,-2.012,1,0.000,0.000,26.626,265.998,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,7.090,953.262,497.066,456.196,0.000,0.000,1728.961,14.000,15.000,0.0290754,0.0588766,0.7308182,48.913,21.271,45.491,39.376,-4.834,2.000,2.569,-6.043,0.003,-5.660,0.002,-11.940,8.187,-1.191,10,-1.987,1,0.000,0.000,51.800,271.399,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,13.986,930.975,483.898,447.077,0.000,0.000,1702.522,14.000,15.000,0.1148961,0.0602861,0.7406655,47.855,20.838,46.306,39.222,-4.880,2.000,2.569,-5.884,0.003,-5.399,0.002,-11.772,8.292,-1.098,10,-2.002,1,0.000,0.000,51.280,269.630,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",12,4,2,0,2,22,0,-2,512.700,9.508,850.607,466.527,384.080,0.000,0.000,1623.630,14.000,15.000,0.0556828,0.0659821,0.7854057,44.697,19.250,44.305,37.760,-4.706,2.000,2.569,-5.160,0.017,-4.116,0.010,-10.611,8.156,-1.070,10,-1.984,1,0.000,0.000,39.924,257.456,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,9.344,1017.529,539.542,477.987,0.000,0.000,1783.057,14.000,15.000,0.0489633,0.0551580,0.6988681,51.078,22.416,46.428,39.842,-4.796,2.000,2.569,-6.560,0.002,-6.490,0.001,-12.342,8.274,-1.140,10,-1.991,1,0.000,0.000,54.006,272.836,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,8.438,1039.343,559.854,479.489,0.000,0.000,1797.309,14.000,15.000,0.0396148,0.0540003,0.6878410,51.648,22.759,46.429,39.509,-4.765,2.000,2.569,-6.739,0.002,-6.722,0.001,-12.369,8.021,-1.137,10,-2.000,1,0.000,0.000,48.660,272.925,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,6.557,912.285,512.031,400.254,0.000,0.000,1680.709,14.000,15.000,0.0255840,0.0615212,0.7493699,46.982,20.208,44.589,37.034,-4.644,2.000,2.569,-5.743,0.015,-4.717,0.007,-10.909,8.235,-1.006,10,-2.012,1,0.000,0.000,26.626,265.998,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,7.073,952.757,496.856,455.901,0.000,0.000,1728.645,14.000,15.000,0.0289439,0.0589079,0.7311170,48.900,21.262,45.486,39.373,-4.832,2.000,2.569,-6.039,0.003,-5.652,0.002,-11.935,8.187,-1.193,10,-1.986,1,0.000,0.000,51.806,271.371,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,13.986,930.975,483.898,447.077,0.000,0.000,1702.522,14.000,15.000,0.1148955,0.0602861,0.7406655,47.855,20.838,46.306,39.222,-4.880,2.000,2.569,-5.884,0.003,-5.399,0.002,-11.772,8.292,-1.098,10,-2.002,1,0.000,0.000,51.280,269.630,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,9.787,948.616,471.305,477.310,0.000,0.000,1729.450,14.000,15.000,0.0553863,0.0591650,0.7345363,48.932,21.376,45.988,38.911,-4.964,2.000,2.569,-5.983,0.002,-5.863,0.001,-12.329,8.100,-1.081,10,-1.973,1,0.000,0.000,43.722,271.511,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,9.724,1012.095,536.168,475.927,0.000,0.000,1781.197,14.000,15.000,0.0530859,0.0554542,0.7021317,51.003,22.329,46.471,39.821,-4.781,2.000,2.569,-6.508,0.002,-6.402,0.001,-12.304,8.254,-1.144,10,-1.984,1,0.000,0.000,54.089,272.944,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,8.438,1039.343,559.854,479.489,0.000,0.000,1797.309,14.000,15.000,0.0396147,0.0540003,0.6878410,51.648,22.759,46.429,39.509,-4.765,2.000,2.569,-6.739,0.002,-6.722,0.001,-12.369,8.021,-1.137,10,-2.000,1,0.000,0.000,48.660,272.925,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",12,4,2,0,2,22,0,-2,512.700,6.331,894.210,491.412,402.799,0.000,0.000,1667.719,14.000,15.000,0.0240315,0.0627647,0.7605726,46.462,19.992,44.460,36.708,-4.691,2.000,2.569,-5.562,0.015,-4.608,0.007,-10.956,8.196,-0.984,10,-1.996,1,0.000,0.000,22.576,263.141,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,7.090,953.262,497.066,456.196,0.000,0.000,1728.961,14.000,15.000,0.0290754,0.0588766,0.7308182,48.913,21.271,45.491,39.376,-4.834,2.000,2.569,-6.043,0.003,-5.660,0.002,-11.940,8.187,-1.191,10,-1.987,1,0.000,0.000,51.800,271.399,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,13.986,930.975,483.898,447.077,0.000,0.000,1702.522,14.000,15.000,0.1148961,0.0602861,0.7406655,47.855,20.838,46.306,39.222,-4.880,2.000,2.569,-5.884,0.003,-5.399,0.002,-11.772,8.292,-1.098,10,-2.002,1,0.000,0.000,51.280,269.630,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",12,4,2,0,2,22,0,-2,512.700,9.508,850.607,466.527,384.080,0.000,0.000,1623.630,14.000,15.000,0.0556828,0.0659821,0.7854057,44.697,19.250,44.305,37.760,-4.706,2.000,2.569,-5.160,0.017,-4.116,0.010,-10.611,8.156,-1.070,10,-1.984,1,0.000,0.000,39.924,257.456,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,9.344,1017.529,539.542,477.987,0.000,0.000,1783.057,14.000,15.000,0.0489633,0.0551580,0.6988681,51.078,22.416,46.428,39.842,-4.796,2.000,2.569,-6.560,0.002,-6.490,0.001,-12.342,8.274,-1.140,10,-1.991,1,0.000,0.000,54.006,272.836,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,8.438,1039.343,559.854,479.489,0.000,0.000,1797.309,14.000,15.000,0.0396148,0.0540003,0.6878410,51.648,22.759,46.429,39.509,-4.765,2.000,2.569,-6.739,0.002,-6.722,0.001,-12.369,8.021,-1.137,10,-2.000,1,0.000,0.000,48.660,272.925,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,6.557,912.285,512.031,400.254,0.000,0.000,1680.709,14.000,15.000,0.0255840,0.0615212,0.7493699,46.982,20.208,44.589,37.034,-4.644,2.000,2.569,-5.743,0.015,-4.717,0.007,-10.909,8.235,-1.006,10,-2.012,1,0.000,0.000,26.626,265.998,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,8.968,955.264,498.699,456.566,0.000,0.000,1730.487,14.000,15.000,0.0464725,0.0587532,0.7297159,48.974,21.302,45.746,39.372,-4.832,2.000,2.569,-6.061,0.003,-5.682,0.002,-11.947,8.195,-1.127,10,-1.988,1,0.000,0.000,51.642,271.398,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,13.332,930.610,483.532,447.078,0.000,0.000,1702.256,14.000,15.000,0.1044146,0.0603098,0.7408792,47.844,20.833,46.160,39.222,-4.881,2.000,2.569,-5.881,0.003,-5.396,0.002,-11.772,8.298,-1.058,10,-2.002,1,0.000,0.000,51.287,269.636,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",13,4,2,0,2,22,0,-2,512.700,9.977,943.113,472.224,470.889,0.000,0.000,1727.162,14.000,15.000,0.0576337,0.0595102,0.7381706,48.841,21.264,45.977,38.905,-4.919,2.000,2.569,-5.925,0.002,-5.727,0.001,-12.211,8.131,-1.025,10,-1.965,1,0.000,0.000,44.414,271.215,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,8.683,1016.311,538.490,477.821,0.000,0.000,1783.011,14.000,15.000,0.0422823,0.0552241,0.6996934,51.076,22.400,46.341,39.835,-4.793,2.000,2.569,-6.547,0.002,-6.472,0.001,-12.339,8.275,-1.106,10,-1.988,1,0.000,0.000,53.964,272.734,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",14,4,2,0,2,22,0,-2,512.700,11.109,1039.376,559.883,479.493,0.000,0.000,1797.339,14.000,15.000,0.0686584,0.0539986,0.6878266,51.649,22.760,46.828,39.509,-4.765,2.000,2.569,-6.739,0.002,-6.722,0.001,-12.370,8.042,-1.118,10,-2.000,1,0.000,0.000,48.653,272.929,14,3,6,0,6,4,36,2,0.000
"ligprep_1.sdf:37",12,4,2,0,2,22,0,-2,512.700,7.772,889.147,485.602,403.544,0.000,0.000,1664.137,14.000,15.000,0.0362987,0.0631222,0.7638084,46.319,19.933,44.599,36.838,-4.704,2.000,2.569,-5.510,0.015,-4.577,0.006,-10.970,8.180,-0.970,10,-1.991,1,0.000,0.000,24.429,263.734,14,3,6,0,6,4,36,2,0.001
"ligprep_1.sdf:38",1,0,0,1,0,4,0,-2,421.353,3.094,649.473,86.618,180.796,229.736,152.322,1126.899,1.000,7.500,0.0084963,0.0115478,0.8063568,38.570,11.277,19.211,12.098,3.321,-5.363,-5.912,-3.953,48.418,-1.158,162.875,-3.658,9.707,1.744,5,-0.132,3,76.551,117.614,0.000,125.526,8,0,19,0,19,0,29,0,0.000
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.298,691.724,197.417,189.052,130.651,174.603,1182.469,3.250,9.750,0.0731043,0.0254105,0.7817940,37.279,11.824,23.898,19.637,0.146,-2.165,-2.025,-3.663,17.072,-1.154,151.876,-5.838,9.219,1.266,7,-1.039,2,49.857,122.164,46.198,148.637,9,0,9,0,9,0,28,2,0.004
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.857,699.861,194.741,198.220,132.174,174.726,1187.011,3.250,9.750,0.0818557,0.0251151,0.7746814,37.476,11.964,24.104,20.489,0.102,-1.951,-2.025,-3.786,11.580,-1.293,122.515,-6.002,9.251,1.299,7,-1.038,2,46.578,122.162,56.455,148.962,9,0,9,0,9,0,28,2,0.005
"ligprep_1.sdf:39",0,1,0,1,2,9,0,-2,419.378,6.771,686.121,187.504,203.098,130.376,165.143,1177.676,3.250,8.250,0.0389331,0.0216768,0.7860465,36.443,11.797,22.333,18.382,-0.812,-2.768,-2.563,-1.786,2.906,-1.367,27.894,-6.002,9.215,1.360,7,-1.017,1,30.483,122.153,51.144,149.698,9,0,9,0,9,0,28,2,0.001
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.298,691.724,197.417,189.052,130.651,174.603,1182.469,3.250,9.750,0.0731043,0.0254105,0.7817940,37.279,11.824,23.898,19.637,0.146,-2.165,-2.025,-3.663,17.072,-1.154,151.876,-5.838,9.219,1.266,7,-1.039,2,49.857,122.164,46.198,148.637,9,0,9,0,9,0,28,2,0.004
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.857,699.861,194.741,198.220,132.174,174.726,1187.011,3.250,9.750,0.0818557,0.0251151,0.7746814,37.476,11.964,24.104,20.489,0.102,-1.951,-2.025,-3.786,11.580,-1.293,122.515,-6.002,9.251,1.299,7,-1.038,2,46.578,122.162,56.455,148.962,9,0,9,0,9,0,28,2,0.005
"ligprep_1.sdf:39",0,1,0,1,2,9,0,-2,419.378,6.771,686.121,187.504,203.098,130.376,165.143,1177.676,3.250,8.250,0.0389331,0.0216768,0.7860465,36.443,11.797,22.333,18.382,-0.812,-2.768,-2.563,-1.786,2.906,-1.367,27.894,-6.002,9.215,1.360,7,-1.017,1,30.483,122.153,51.144,149.698,9,0,9,0,9,0,28,2,0.001
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.297,691.882,197.408,189.231,130.639,174.603,1182.640,3.250,9.750,0.0730936,0.0254047,0.7816905,37.286,11.827,23.900,19.644,0.146,-2.165,-2.025,-3.665,16.983,-1.156,151.236,-5.841,9.219,1.266,7,-1.039,2,49.814,122.163,46.270,148.640,9,0,9,0,9,0,28,2,0.004
"ligprep_1.sdf:39",0,1,0,0,2,8,0,-2,419.378,9.856,699.863,194.740,198.219,132.176,174.728,1187.012,3.250,9.750,0.0818362,0.0251150,0.7746800,37.476,11.964,24.104,20.488,0.102,-1.951,-2.025,-3.786,11.581,-1.293,122.521,-6.002,9.251,1.299,7,-1.038,2,46.579,122.164,56.451,148.960,9,0,9,0,9,0,28,2,0.005
"ligprep_1.sdf:39",0,1,0,1,2,9,0,-2,419.378,6.771,686.121,187.504,203.098,130.376,165.143,1177.676,3.250,8.250,0.0389331,0.0216768,0.7860465,36.443,11.797,22.333,18.382,-0.812,-2.768,-2.563,-1.786,2.906,-1.367,27.894,-6.002,9.215,1.360,7,-1.017,1,30.483,122.153,51.144,149.698,9,0,9,0,9,0,28,2,0.001
"ligprep_1.sdf:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ligprep_1.sdf:41",0,1,0,0,0,4,0,0,440.467,8.321,667.899,147.103,129.925,303.333,87.539,1265.624,3.000,6.000,0.0547051,0.0155597,0.8472095,44.825,13.130,23.885,13.726,3.684,-4.594,-5.606,-6.177,144.785,-0.271,204.459,-4.524,9.045,1.193,5,0.638,3,87.186,87.539,0.000,81.919,5,0,24,0,24,6,32,0,0.000
"ligprep_1.sdf:42",11,0,0,0,0,17,0,-2,580.892,0.577,1103.476,819.967,79.668,203.841,0.000,2116.665,0.000,4.000,0.0001575,0.0000000,0.7224986,69.586,20.522,24.759,4.493,10.844,-12.266,-10.153,-6.994,1739.453,-1.478,899.928,-0.638,9.301,1.530,19,2.971,1,100.000,0.000,0.000,52.888,2,2,10,0,10,0,43,2,0.000
"ligprep_1.sdf:43",11,1,1,2,5,21,0,-2,637.664,11.189,944.907,436.559,507.691,0.000,0.657,1787.284,8.750,19.450,0.0700447,0.0608884,0.7537693,51.889,20.695,42.323,39.718,-6.449,0.559,0.208,4.245,0.000,-6.259,0.001,-12.985,8.435,0.249,10,-3.195,1,0.000,0.000,93.654,373.503,20,3,5,0,5,4,43,2,0.000
"ligprep_1.sdf:43",11,1,1,2,5,21,0,-2,637.664,11.976,916.329,436.508,477.776,0.000,2.045,1754.539,8.750,19.450,0.0817480,0.0627874,0.7677546,50.579,20.048,41.955,40.788,-6.366,1.505,0.208,4.471,0.001,-5.702,0.002,-12.434,8.162,0.782,10,-3.207,1,0.000,0.000,111.789,372.867,20,3,5,0,5,4,43,2,0.000
"ligprep_1.sdf:43",11,1,1,2,5,21,0,-2,637.664,11.124,944.905,436.768,507.429,0.000,0.708,1786.450,8.750,19.450,0.0692671,0.0608885,0.7535364,51.856,20.688,42.298,39.730,-6.452,0.565,0.208,4.241,0.000,-6.260,0.001,-12.980,8.435,0.248,10,-3.197,1,0.000,0.000,93.837,373.601,20,3,5,0,5,4,43,2,0.000
"ligprep_1.sdf:43",11,1,1,2,5,21,0,-2,637.664,11.976,916.329,436.508,477.776,0.000,2.045,1754.539,8.750,19.450,0.0817481,0.0627874,0.7677546,50.579,20.048,41.955,40.788,-6.366,1.505,0.208,4.471,0.001,-5.702,0.002,-12.434,8.162,0.782,10,-3.207,1,0.000,0.000,111.789,372.867,20,3,5,0,5,4,43,2,0.000
"ligprep_1.sdf:44",11,0,0,0,1,35,0,-2,567.978,5.254,1321.534,1206.522,115.012,0.000,0.000,2358.124,3.000,5.900,0.0117041,0.0077328,0.6483326,65.745,24.067,27.640,8.154,9.828,-11.152,-7.581,-5.848,491.400,-3.370,390.771,-0.279,9.641,-1.282,3,1.858,1,100.000,0.000,26.860,75.952,4,2,0,0,0,0,40,1,0.000
"ligprep_1.sdf:45",10,0,0,0,1,35,0,-2,581.961,5.692,1318.753,1156.639,147.055,15.058,0.000,2346.608,4.000,7.600,0.0138048,0.0115260,0.6475830,65.428,24.540,30.102,11.754,8.589,-10.121,-7.082,-5.932,235.375,-3.884,183.436,-0.816,9.636,-1.126,6,1.350,1,93.770,0.000,28.846,96.129,5,2,0,0,0,0,41,1,0.000
"ligprep_1.sdf:46",4,1,0,0,0,9,0,-2,688.738,6.814,1011.159,520.164,153.871,337.124,0.000,1978.672,1.000,13.000,0.0234636,0.0128565,0.7538096,70.473,20.496,32.714,17.777,4.946,-6.771,-8.902,-7.850,85.831,-1.386,38.515,-4.366,8.624,1.492,8,0.875,1,64.598,0.000,0.000,150.759,13,2,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",1,1,0,0,0,9,0,-2,688.738,8.448,983.940,510.258,156.199,317.483,0.000,1955.513,1.000,13.000,0.0364944,0.0132122,0.7686057,69.359,19.979,32.567,17.593,4.772,-6.290,-8.902,-7.516,81.576,-1.343,36.455,-4.478,8.642,1.465,8,0.824,1,63.182,0.000,0.000,151.121,13,2,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",6,1,0,0,0,9,0,-2,688.738,11.584,1088.966,524.788,144.677,419.501,0.000,2039.392,1.000,13.000,0.0658020,0.0119379,0.7141968,73.690,22.193,34.253,18.462,5.462,-8.153,-8.902,-8.883,104.913,-1.471,47.848,-3.907,8.542,1.455,8,1.012,1,56.219,0.000,0.000,151.507,13,3,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",1,1,0,0,0,9,0,-2,688.738,8.448,983.940,510.258,156.199,317.483,0.000,1955.513,1.000,13.000,0.0364944,0.0132122,0.7686057,69.359,19.979,32.567,17.593,4.772,-6.290,-8.902,-7.516,81.576,-1.343,36.455,-4.478,8.642,1.465,8,0.824,1,63.182,0.000,0.000,151.121,13,2,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",4,1,0,0,0,9,0,-2,688.738,6.814,1011.159,520.164,153.871,337.124,0.000,1978.672,1.000,13.000,0.0234636,0.0128565,0.7538096,70.473,20.496,32.714,17.777,4.946,-6.771,-8.902,-7.850,85.831,-1.386,38.515,-4.366,8.624,1.492,8,0.875,1,64.598,0.000,0.000,150.759,13,2,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",6,1,0,0,0,9,0,-2,688.738,11.584,1088.966,524.788,144.677,419.501,0.000,2039.392,1.000,13.000,0.0658020,0.0119379,0.7141968,73.690,22.193,34.253,18.462,5.462,-8.153,-8.902,-8.883,104.913,-1.471,47.848,-3.907,8.542,1.455,8,1.012,1,56.219,0.000,0.000,151.507,13,3,37,0,37,3,51,2,0.000
"ligprep_1.sdf:46",1,1,0,0,0,9,0,-2,688.738,8.448,983.940,510.258,156.199,317.483,0.000,1955.513,1.000,13.000,0.0364944,0.0132122,0.7686057,69.359,19.979,32.567,17.593,4.772,-6.290,-8.902,-7.516,81.576,-1.343,36.455,-4.478,8.642,1.465,8,0.824,1,63.182,0.000,0.000,151.121,13,2,37,0,37,3,51,2,0.000
